Rank,Title,Status,Study Results,conditions,conditions_head,Interventions,Funded Bys,Study Type,start_date,Locations,URL
3684,A Study to Measure the Safety and Effectiveness of Zonisamide in Subjects With Migraine Headache,Completed,No Results Available,Migraine Headache,Nervous System Diseases,Drug: zonisamide,Industry,Interventional,2002-03-01,"Medical Affiliated Research Center, Huntsville, Alabama, United States|University of South Alabama Medical Ctr Department of Neurology, Mobile, Alabama, United States|Valley Neurological Headache Clinic, Phoenix, Arizona, United States|The New England Center for Headache, Stamford, Connecticut, United States|Radiant Research, Overland Park, Kansas, United States|Michigan Head-Pain & Neurological Institute, Ann Arbor, Michigan, United States|Mercy Health Research, Chesterfield, Missouri, United States|Headache Care Center, Springfield, Missouri, United States|Neurological Associates of Tulsa, Tulsa, Oklahoma, United States|Thomas Jefferson University Hospital, Philadelphia, Pennsylvania, United States|MetaClin Research, Austin, Texas, United States|Houston Headache Clinic, Houston, Texas, United States|Radiant Research, Salt Lake City, Utah, United States",https://ClinicalTrials.gov/show/NCT00055484
2090,Transdermal Ketoprofen to Treat Mild to Moderate Osteoarthritis (OA) Pain of the Knee,Completed,No Results Available,"Pain|Osteoarthritis, Knee",Skin and Connective Tissue Diseases,Drug: Transdermal Ketoprofen Patch with CHADD|Drug: Placebo transdermal patch,Industry,Interventional,2005-04-01,"SouthBay Pharma Research, Buena Park, California, United States|The Center for Rheumatology and Bone Research, Washington, District of Columbia, United States|Radiant Research, Daytona Beach, Florida, United States|University Clinical Research, Pembroke Pines, Florida, United States|Hospital for Special Surgery, New York City, New York, United States",https://ClinicalTrials.gov/show/NCT00108810
3643,A Non-Invasive Neuromodulation Device for Treatment of Migraine Headache,Completed,No Results Available,"Migraine Headache, Episodic",Nervous System Diseases,Device: neuromodulation for episodic migraine headache,Industry,Interventional,2013-08-01,"Naval Medical Center, San Diego, California, United States|Michigan Headache and Neurological Institute, Ann Arbor, Michigan, United States|Carolina Headache Institute, Chapel Hill, North Carolina, United States|Duke University, Durham, North Carolina, United States|Headache Wellness Center, Greensboro, North Carolina, United States|Kent University, Kent, Canterbury, United Kingdom",https://ClinicalTrials.gov/show/NCT01899040
2092,Efficacy of Cooled and Monopolar Radiofrequency Ablation of the Geniculate Nerves for the Treatment of Chronic Osteoarthritic Knee Pain,"Active, not recruiting",No Results Available,"Osteoarthritis, Knee",Skin and Connective Tissue Diseases,Procedure: Genicular nerve radiofrequency ablation|Device: Pain Management Radiofrequency Kit,Other,Interventional,2015-01-01,"Millennium Pain Center, Bloomington, Illinois, United States|Millennium Pain Center at Decatur Memorial Hospital, Decatur, Illinois, United States|Methodist Comprehensive Spine and Pain Center - Millennium Pain Center, Peoria, Illinois, United States",https://ClinicalTrials.gov/show/NCT02260869
3385,Staccato Prochlorperazine in Migraine (in Clinic),Completed,Has Results,"Migraine Headache, With or Without Aura",Nervous System Diseases,Drug: Staccato Placebo|Drug: Staccato Prochlorperazine 5 mg|Drug: Staccato Prochlorperazine 10 mg,Industry,Interventional,2005-03-01,"Arthur H. Elkind, MD, Mount Vernon, New York, United States",https://ClinicalTrials.gov/show/NCT00610428
3681,Staccato Prochlorperazine in Migraine (Out Patient),Completed,Has Results,Migraine Headache|Aura,Nervous System Diseases,Drug: Inhaled Placebo|Drug: Inhaled PCZ 5 mg|Drug: Inhaled PCZ 7.5 mg|Drug: Inhaled PCZ 10 mg,Industry,Interventional,2006-04-01,"Department of Neurology, Mayo Clinic, Scottsdale, Arizona, United States|San Francisco Headache Clinic, San Francisco, California, United States|California Medical Clinic for Headache, Santa Monica, California, United States|Neurological Research Institute of East Bay, Walnut Creek, California, United States|Mile High Research Center, Denver, Colorado, United States|Associated Neurologists of Southern Connecticut PC, Fairfield, Connecticut, United States|Hartford Headache Center, Hartford, Connecticut, United States|The New England Center for Headache, Stamford, Connecticut, United States|MD Clinical, Hallandale Beach, Florida, United States|Palm Beach Neurological Center, West Palm Beach, Florida, United States|Diamond Headache Clinic, Chicago, Illinois, United States|Medvadis, Wellesley Hills, Massachusetts, United States|New England Regional Headache Center, Worcester, Massachusetts, United States|The Michigan Head-Pain and Neurological Institute, Ann Arbor, Michigan, United States|Headache Care Center Primary Care Network, INC, Springfield, Missouri, United States|Regional Clinical Research, Endwell, New York, United States|Elkind Headache Center, Mount Vernon, New York, United States|New York Headache Center, New York, New York, United States|Island Neurological Associates, PC, Plainview, New York, United States|PharmQuest, Greensboro, North Carolina, United States|Health Research Associates, Cleveland, Ohio, United States|ClinExcel Research, West Chester, Ohio, United States|University Neurologists/OUHSC, Oklahoma City, Oklahoma, United States|Houston Headache Clinic, Houston, Texas, United States|Swedish Research Center, Seattle, Washington, United States",https://ClinicalTrials.gov/show/NCT00422812
3489,Clinical Decision Rule for Pediatric Intracranial Pathology,Unknown status,No Results Available,Migraine Headache|Headache,Nervous System Diseases,,Other,Observational,2015-09-01,"Children's Hopsitals and Clinics of Minnesota, St. Paul, Minnesota, United States",https://ClinicalTrials.gov/show/NCT02742272
2096,Clinical Outcomes of Autologous Bone Marrow Aspirate Concentrate Injections for Musculoskeletal Conditions,Recruiting,No Results Available,Musculoskeletal Pain|Osteoarthritis|Tendinopathy|Sprains Strain,Skin and Connective Tissue Diseases,Procedure: Bone Marrow Aspirate Concentrate Injection,Other,Observational,2016-11-01,"Midwest Orthopeadics at Rush, Chicago, Illinois, United States",https://ClinicalTrials.gov/show/NCT02981394
2097,Musculoskeletal and Obstetric Management Study,Unknown status,No Results Available,Lower Back Pain|Pelvic Pain|Musculoskeletal Pain,"Muscle, Bone, and Cartilage Diseases",Other: Manual Therapy|Other: Standard OB Care,Other|U.S. Fed,Interventional,2006-10-01,"Center for Advanced Medicine, St Louis, Missouri, United States|Barnes-Jewish Hospital, St. Louis, Missouri, United States|Missouri Baptist Medical Center, St. Louis, Missouri, United States",https://ClinicalTrials.gov/show/NCT00905112
3361,Theramine® in the Prevention of Migraine Headache,Terminated,Has Results,Migraine Headaches,Nervous System Diseases,Drug: Theramine (medical food/old drug)|Other: Placebo (l-alanine),Industry,Interventional,2013-11-01,"University Cincinnati Physicians Company, Cincinnati, Ohio, United States",https://ClinicalTrials.gov/show/NCT01944059
3369,The Utility of Telemedicine in the Management of Migraine,Enrolling by invitation,No Results Available,Migraine Headaches,Nervous System Diseases,,Other|Industry,Observational,2012-10-01,"Universit of Texas Southwestern, Dallas, Texas, United States",https://ClinicalTrials.gov/show/NCT01706003
3384,Set Point Acupuncture for Migraines Using a Digital Assistant,Completed,No Results Available,Migraine Headaches,Nervous System Diseases,Procedure: acupuncture,Other|U.S. Fed,Interventional,2008-07-01,"John P Murtha Neuroscience and Pain Institute, Johnstown, Pennsylvania, United States",https://ClinicalTrials.gov/show/NCT00714727
2101,Double-Blind Follow-on Safety Study of HZT-501 (Ibuprofen 800 mg/Famotidine 26.6 mg) in Subjects Who Have Completed Participation in HZ-CA-301 (NCT00450658) or HZ-CA-303 (NCT00450216),Completed,Has Results,Osteoarthritis|Rheumatoid Arthritis|Chronic Low Back Pain|Chronic Regional Pain Syndrome|Chronic Soft Tissue Pain,Skin and Connective Tissue Diseases,Drug: HZT-501|Drug: Ibuprofen,Industry,Interventional,2007-09-01,"PRA International, San Diego, California, United States",https://ClinicalTrials.gov/show/NCT00613106
2102,Use of Autologous Bone Marrow Aspirate Concentrate in Painful Knee Osteoarthritis,Completed,No Results Available,Bilateral Primary Osteoarthritis of Knee,Skin and Connective Tissue Diseases,Drug: Autologous Bone Marrow Aspirate Concentrate|Drug: Sterile saline,Other,Interventional,2013-08-01,"Mayo Clinic Jacksonville, Jacksonville, Florida, United States",https://ClinicalTrials.gov/show/NCT01931007
3476,Craniosacral Therapy in Migraine: A Feasibility Study,Completed,No Results Available,Migraine Headaches,Nervous System Diseases,Other: Craniosacral therapy|Procedure: Low strength static magnets,Other|NIH,Interventional,2006-09-01,"University of North Carolina at Chapel Hill, Chapel Hill, North Carolina, United States",https://ClinicalTrials.gov/show/NCT00665236
2104,Effects of Lumbosacral Joint Mobilization/Manipulation on Lower Extremity Muscle Neuromuscular Response,Terminated,No Results Available,Knee Pain|Hip Pain|Ankle Pain|Lumbopelvic Pain,"Muscle, Bone, and Cartilage Diseases",Other: lumbosacral joint manipulation|Other: lumbar passive range of motion|Other: No active intervention,Other,Interventional,2005-05-01,"University of Virginia, Charlottesville, Virginia, United States",https://ClinicalTrials.gov/show/NCT00601341
2105,Utility of the History and Physical Exam in the Emergency Department,Completed,No Results Available,Abdominal Pain|Back Pain|Dyspnea|Headache|Weakness,Nervous System Diseases,,Other,Observational,2009-07-01,"Henry Ford Macomb Hospital, Clinton Township, Michigan, United States",https://ClinicalTrials.gov/show/NCT01154517
2106,Effect of Strength and Coordination Training on Biomechanics and Injury in New Runners,Recruiting,No Results Available,Injuries|Patellofemoral Pain Syndrome|Iliotibial Band Syndrome,Wounds and Injuries,Behavioral: Strength and Coordination Training|Behavioral: Walking,Other,Interventional,2017-01-15,"Virginia Commonwealth University, Richmond, Virginia, United States",https://ClinicalTrials.gov/show/NCT03293121
3494,A Study of the Efficacy of RWJ-333369 in the Prevention of Migraine,Completed,No Results Available,Migraine Headaches,Nervous System Diseases,Drug: RWJ-333369,Industry,Interventional,2002-03-01,"Northport, Alabama, United States|Phoenix, Arizona, United States|Little Rock, Arkansas, United States|Berkeley, California, United States|Golden, Colorado, United States|Miami, Florida, United States|St. Petersburg, Florida, United States|Chicago, Illinois, United States|Baton Rouge, Louisiana, United States|Brockton, Massachusetts, United States|Springfield, Massachusetts, United States|Chaska, Minnesota, United States|Springfield, Missouri, United States|Greensboro, North Carolina, United States|Bismarck, North Dakota, United States|Cincinnati, Ohio, United States|Mogadore, Ohio, United States|Nashville, Tennessee, United States|Austin, Texas, United States|Houston, Texas, United States|Lake Jackson, Texas, United States|Richardson, Texas, United States|Alexandria, Virginia, United States|Olympia, Washington, United States|Middleton, Wisconsin, United States",https://ClinicalTrials.gov/show/NCT00109083
2108,Intrathecal Morphine Compared to Conventional Medical Management for Pain Control and Opioid-related Side Effects,Terminated,Has Results,Chronic Pain,Nervous System Diseases,Device: SynchroMed Infusion System and Intrathecal Morphine Sulfate|Other: Conventional Medicine,Industry,Interventional,2013-10-01,"Pain Management Services PC, Homewood, Alabama, United States|Napa Pain Institute and Neurovations, Napa, California, United States|IPM Medical Group (Interventional Pain Medical Group), Walnut Creek, California, United States|Compass Research, Orlando, Florida, United States|The Center for Clinical Research, Winston-Salem, North Carolina, United States|University of Virginia Pain Management Center, Charlottesville, Virginia, United States",https://ClinicalTrials.gov/show/NCT01924182
2109,BurstDR™ micrOdosing stimuLation in De-novo Patients,Recruiting,No Results Available,"Pain, Intractable|Pain, Back","Muscle, Bone, and Cartilage Diseases",Device: Stimulation will be delivered at with different microdosing setting to identify the optimal parameter values for each patient.,Industry,Interventional,2017-10-30,"Thrive Clinic, Santa Rosa, California, United States|Nevada advanced pain specialists, Reno, Nevada, United States|OnSite Clinical Solutions, Asheville, North Carolina, United States|Ambulatory Surgery Center of Killeen, Killeen, Texas, United States|Premier Pain Solutions, Charleston, West Virginia, United States",https://ClinicalTrials.gov/show/NCT03350256
2110,Ropivacaine Block Alone or With Perineural or Systemic Dexamethasone for Pain in Shoulder Surgery,Completed,Has Results,Shoulder Injury,"Muscle, Bone, and Cartilage Diseases",Drug: Ropivacaine|Drug: Dexamethasone|Drug: Normal saline,Other,Interventional,2012-05-01,"Mayo Clinic in Arizona, Phoenix, Arizona, United States",https://ClinicalTrials.gov/show/NCT01450007
2111,A Study to Compare Levels of Capsaicin After Intra-Articular Injection and Topical Application in Patients With Painful Knee Osteoarthritis,Recruiting,No Results Available,Knee Osteoarthritis,Skin and Connective Tissue Diseases,Drug: CNTX-4975-05|Drug: Qutenza|Drug: Lidocaine (without epinephrine),Industry,Interventional,2018-06-25,"Well Pharma Medical Research, Corp, Miami, Florida, United States",https://ClinicalTrials.gov/show/NCT03576508
3642,"Prospective, Multi-Center Evaluation of the Efficacy of Peripheral Trigger Decompression Surgery for Migraine Headaches",Recruiting,No Results Available,Migraine Headaches,Nervous System Diseases,Drug: Botulinum Toxin Type A|Procedure: Surgery|Other: Daily headache diary|Other: Migraine Disability Assessment Test (MIDAS)|Other: Migraine Work and Productivity Loss Questionnaire (MWPLQ)|Other: Migraine-Specific Quality of Life Questionnaire (MSQ),Other,Interventional,2015-09-01,"Peled Plastic Surgery, San Francisco, California, United States|Premier Plastic Surgery of Kansas City, Olathe, Kansas, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|Neuropax Clinic, Saint Louis, Missouri, United States|The Ohio State University Wexner Medical Center, Columbus, Ohio, United States|The University of Wisconsin-Madison, Madison, Wisconsin, United States",https://ClinicalTrials.gov/show/NCT02351544
2113,"MRI-Guided Cryoablation to Alleviate Pain in Head, Neck and Spine",Recruiting,No Results Available,Facet Joints; Degeneration|Neuropathy|Neuralgia,Nervous System Diseases,Procedure: Cryoablation under image guidance|Device: MRI Seednet Cryotherapy System (Galil Medical),Other,Observational,2013-05-01,"Brigham and Women's Hospital, Boston, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT01788410
3658,An Efficacy and Safety Study of DFN-02,Completed,No Results Available,Migraine Headaches,Nervous System Diseases,Drug: DFN-02|Other: DFN-02 Placebo,Industry,Interventional,2016-07-11,"Site 30, San Diego, California, United States|Site 11, Santa Monica, California, United States|Site 31, Boston, Massachusetts, United States|Site 18, Ann Arbor, Michigan, United States|Site 02, Albuquerque, New Mexico, United States|Site 29, Rochester, New York, United States|Site 25, Williamsville, New York, United States|Site 33, Mount Pleasant, South Carolina, United States|Site 28, West Jordan, Utah, United States",https://ClinicalTrials.gov/show/NCT02856802
2115,Modifying Exercise for the COPD Patient,Completed,No Results Available,Chronic Obstructive Pulmonary Disease|Arthritis|Pain,Skin and Connective Tissue Diseases,,Other,Observational,2012-09-01,"TriHealth Fitness and Health Pavilion, Cincinnati, Ohio, United States",https://ClinicalTrials.gov/show/NCT02143206
2116,Oral Thiamine for the Treatment of Painful Diabetic Peripheral Neuropathy,Withdrawn,No Results Available,Peripheral Neuropathy|Diabetes Mellitus|Diabetes Complications,Nutritional and Metabolic Diseases,Drug: Thiamine,Other,Interventional,2006-01-01,"Loma Linda University Department of Neurology, Loma Linda, California, United States",https://ClinicalTrials.gov/show/NCT00279266
3682,Premium Migraine Trial,Completed,No Results Available,Migraine Headaches|Patent Foramen Ovale,Nervous System Diseases,Other: Sham Procedure|Device: AMPLATZER PFO Occluder,Industry,Interventional,2006-01-01,"St. Joseph's Hospital & Medical Center, Phoenix, Arizona, United States|UCLA School of Medicine, Los Angeles, California, United States|Memorial Hospital, Colorado Springs, Colorado, United States|Swedish Medical Center, Englewood, Colorado, United States|Medical Center of the Rockies, Fort Collins, Colorado, United States|Washington Hospital Center, Washington, District of Columbia, United States|University of Iowa, Iowa City, Iowa, United States|University of Kentucky, Lexington, Kentucky, United States|Ochsner Clinic Foundation, New Orleans, Louisiana, United States|Tufts Medical Center, Boston, Massachusetts, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|William Beaumont Hospital, Royal Oak, Michigan, United States|Abbott Northwestern Hospital, Minneapolis, Minnesota, United States|Mayo Clinic, Rochester, Minnesota, United States|St. Cloud Hospital, St. Cloud, Minnesota, United States|Washington University School of Medicine, St. Louis, Missouri, United States|St. Johns's Mercy Medical Center, St. Louis, Missouri, United States|Alegent Health Bergan Mercy Medical Center, Omaha, Nebraska, United States|Children's Heart Center Las Vegas, Las Vegas, Nevada, United States|Mercy Hospital of Buffalo, Buffalo, New York, United States|University of Rochester Medical School, Rochester, New York, United States|Pinnacle Health Hospitals, Harrisburg, Pennsylvania, United States|Thomas Jefferson University, Philadelphia, Pennsylvania, United States|The Methodist Hospital, Houston, Texas, United States|St. Mark's Hospital, Salt Lake City, Utah, United States|Intermountain Medical Center, Salt Lake City, Utah, United States|Inova Healthcare Services, Falls Church, Virginia, United States|University of Washington Medical Center, Seattle, Washington, United States|St. Luke's Medical Center, Milwaukee, Wisconsin, United States|Medical College of Wisconsin, Milwaukee, Wisconsin, United States",https://ClinicalTrials.gov/show/NCT00355056
3584,Study of the Safety and Effectiveness of NXN-188 for the Treatment of Migraine Headache Without Aura,Completed,Has Results,Migraine Without Aura,Nervous System Diseases,Drug: NXN-188|Drug: Placebo,Industry,Interventional,2009-07-01,"Comprehensive Neuroscience, Inc., St. Petersburg, Florida, United States|Comprehensive NeuroScience, Inc. Atlanta, Atlanta, Georgia, United States|Elkind Headache Center, Mount Vernon, New York, United States|Lifetree Clinical Research, Salt Lake City, Utah, United States",https://ClinicalTrials.gov/show/NCT00959751
3430,Does Topiramate Adjust the Excitability of the Brain in Migraine Sufferers?,Unknown status,No Results Available,Migraine|Chronic Headache,Nervous System Diseases,Drug: Topiramate,Other|Industry,Observational,2006-02-01,"Swedish Headache Clinic, Seattle, Washington, United States",https://ClinicalTrials.gov/show/NCT00286923
2120,The Impact of Modifiable Psychosocial Factors on Veterans' Long-term Trajectories of Functioning and Quality of Life: Promoting Recovery by Targeting Mindfulness and Psychological Flexibility,Not yet recruiting,No Results Available,PTSD|Depression|Chronic Pain|Alcohol Use Disorder|Traumatic Brain Injury,Behaviors and Mental Disorders,Behavioral: Acceptance and Commitment Therapy to promote functional recovery in war veterans (ACT-FX)|Behavioral: Treatment as usual (TAU),U.S. Fed,Interventional,2018-12-03,"Central Texas Veterans Health Care System Waco VA Medical Center, Waco, TX, Waco, Texas, United States",https://ClinicalTrials.gov/show/NCT03615222
2121,An Evaluation of the Efficacy and Safety of E2007 in Patients With Painful Diabetic Neuropathy,Completed,Has Results,Diabetic Neuropathy,Nutritional and Metabolic Diseases,Drug: Placebo|Drug: E2007 (2 mg)|Drug: E2007 (4 mg)|Drug: E2007 (6 mg)|Drug: E2007 (8 mg),Industry,Interventional,2007-06-01,"Dr. Richard Blonsky, Chicago, Illinois, United States",https://ClinicalTrials.gov/show/NCT00505284
3368,Neuroimaging Studies of Chronic Primary Headaches Using Positron Emission Tomography and Magnetic Resonance Imaging,Completed,No Results Available,Migraine|Chronic Migraine,Nervous System Diseases,,Other|Industry,Observational,2011-09-01,"UCSF, San Francisco, California, United States",https://ClinicalTrials.gov/show/NCT01741246
2123,Efficacy of Nerve Blockade Performed Prior to Surgical Intervention Versus Following Surgical Intervention,Enrolling by invitation,No Results Available,Pain|Shoulder Injury,"Muscle, Bone, and Cartilage Diseases",Procedure: Preemptive Interscalene Block - Single Shot|Procedure: Postoperative Interscalene Block- Single Shot|Procedure: Preemptive Interscalene Block - Catheter|Procedure: Postoperative Interscalene Block - Catheter,Other,Interventional,2013-02-01,"Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States",https://ClinicalTrials.gov/show/NCT02666118
2124,A Study of the Efficacy and Safety of EUFLEXXA™ for Treatment of Painful Osteoarthritis of the Knee,Completed,Has Results,"Osteoarthritis, Knee",Skin and Connective Tissue Diseases,Device: EUFLEXXA™|Device: placebo,Industry,Interventional,2006-10-01,"Investigational site, Los Angeles, California, United States",https://ClinicalTrials.gov/show/NCT00379236
3373,Non-drug Interventions for Migraines,Completed,No Results Available,Migraine|Headache,Nervous System Diseases,Behavioral: Mindfulness Based Stress Reduction (MBSR),Other,Interventional,2012-02-01,"Brigham and Women's Hospital, Boston, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT01545466
3405,Cognitive Effects of Immediate Release Topiramate vs Extended Release Topiramate in Patients With Migraine,Recruiting,No Results Available,Migraine|Headache,Nervous System Diseases,Drug: IR-TPM (Topamax)|Drug: XR-TPM (Trokendi XR),Other|Industry,Interventional,2017-10-30,"University of Minnesota, Minneapolis, Minnesota, United States|Prism Research, Saint Paul, Minnesota, United States",https://ClinicalTrials.gov/show/NCT03280342
3397,A Quality of Life Study in Patients With Migraines,Terminated,No Results Available,Migraine|Headache|Depression,Behaviors and Mental Disorders,,Other|Industry,Observational,2006-01-01,"North Shore Long Island Jewish Health System, Great Neck, New York, United States",https://ClinicalTrials.gov/show/NCT00298805
2128,Duloxetine in Osteoarthritis (OA) Pain,Completed,Has Results,Osteoarthritis,Skin and Connective Tissue Diseases,Drug: Duloxetine|Drug: Sugar pill,Other|Industry,Interventional,2012-03-01,"Northwestern University Feinberg School of Medicine, Chicago, Illinois, United States",https://ClinicalTrials.gov/show/NCT01558700
2129,Serum Levels of Bupivacaine in Autotransfusion Drains Following Total Joint Arthroplasty,Completed,Has Results,Knee Pain Arthritis,Skin and Connective Tissue Diseases,Drug: periarticular bupivicaine and liposomal bupivicaine,Other,Observational,2014-10-01,"OrthoCarolina, PA, Charlotte, North Carolina, United States|Novant Health Charlotte Orthopedic Hospital, Charlotte, North Carolina, United States|OrthoCarolina Research Institute, OrthoCarolina, P.A., Charlotte, North Carolina, United States|OrthoCarolina, PA, Charlotte, North Carolina, United States",https://ClinicalTrials.gov/show/NCT02276040
2130,"Trial to Assess the Efficacy and Safety of SPM 927 (200, 400, and 600mg/Day) in Subjects With Painful Distal Diabetic Neuropathy",Completed,No Results Available,Diabetic Neuropathies,Nutritional and Metabolic Diseases,Drug: SPM 927,Industry,Interventional,2004-10-01,"Schwarz, RTP, North Carolina, United States",https://ClinicalTrials.gov/show/NCT00135109
2131,HUPS: Hyalgan Use in Painful Shoulder,Completed,No Results Available,Osteoarthritis of Shoulder,Skin and Connective Tissue Diseases,Drug: sodium hyaluronate,Industry,Interventional,2002-01-01,"Sanofi-Aventis, Bridgewater, New Jersey, United States",https://ClinicalTrials.gov/show/NCT00377624
2132,Physical Therapy Trial for Pelvic Pain,Completed,No Results Available,Interstitial Cystitis|Painful Bladder Syndrome|Chronic Prostatitis|Chronic Pelvic Pain Syndrome,pelvic,Procedure: Physical Therapy,NIH,Interventional,2006-11-01,"Stanford University Medical Center, Stanford, California, United States|Northwestern University Feinberg School of Medicine, Chicago, Illinois, United States|Loyola University Medical Center, Maywood, Illinois, United States|William Beaumont Hospital, Royal Oak, Michigan, United States|Cleveland Clinic Foundation, Cleveland, Ohio, United States",https://ClinicalTrials.gov/show/NCT00434343
3383,Is Topiramate Effective in Treating Dizziness in Patient's With Migraine-Associated Dizziness,Withdrawn,No Results Available,Migraine|Headache|Dizziness,Nervous System Diseases,Drug: topiramate|Drug: lactulose placebo pill,Other,Interventional,2008-11-01,"University of California, San Francisco, San Francisco, California, United States",https://ClinicalTrials.gov/show/NCT00732108
3354,Ticagrelor Therapy for RefrACTORy Migraine Study,"Active, not recruiting",No Results Available,Migraine|Headache|Migraine Headache,Nervous System Diseases,Drug: Ticagrelor 90 mg twice per day,Other|Industry,Interventional,2015-10-01,"Columbia University Medical Center, New York, New York, United States",https://ClinicalTrials.gov/show/NCT02518464
2925,Molecular and Functional PET-fMRI Measures of Analgesia in Migraine,Unknown status,No Results Available,Migraine|Healthy,Nervous System Diseases,Other: Placebo,Other|NIH,Interventional,2013-03-01,"Athinoula A. Martinos. Center for Biomedical Imaging, Charlestown, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT01970943
2136,Dopamine Receptor Agonist Therapy for Pain Relief in Women Suffering From Endometriosis: A Pilot Study,Recruiting,No Results Available,Endometriosis,pelvic,Drug: Cabergoline|Drug: Norethindrone acetate,Other,Interventional,2016-05-01,"Children's Hospital Boston, Boston, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT02542410
3081,Menstrual Migraine Treatment With TREXIMET (Formerly Known as TREXIMA),Completed,No Results Available,Migraine|Migraine Disorders,Nervous System Diseases,Drug: sumatriptan succinate/naproxen sodium,Industry,Interventional,2006-05-01,"GSK Investigational Site, Chandler, Arizona, United States|GSK Investigational Site, Irvine, California, United States|GSK Investigational Site, Redondo Beach, California, United States|GSK Investigational Site, San Francisco, California, United States|GSK Investigational Site, Santa Monica, California, United States|GSK Investigational Site, Boulder, Colorado, United States|GSK Investigational Site, Colorado Springs, Colorado, United States|GSK Investigational Site, Port Orange, Florida, United States|GSK Investigational Site, Sunrise, Florida, United States|GSK Investigational Site, West Palm Beach, Florida, United States|GSK Investigational Site, Chicago, Illinois, United States|GSK Investigational Site, South Bend, Indiana, United States|GSK Investigational Site, Baton Rouge, Louisiana, United States|GSK Investigational Site, Ann Arbor, Michigan, United States|GSK Investigational Site, Omaha, Nebraska, United States|GSK Investigational Site, Albuquerque, New Mexico, United States|GSK Investigational Site, New York, New York, United States|GSK Investigational Site, New York, New York, United States|GSK Investigational Site, Winston-Salem, North Carolina, United States|GSK Investigational Site, Cincinnati, Ohio, United States|GSK Investigational Site, Cincinnati, Ohio, United States|GSK Investigational Site, Toledo, Ohio, United States|GSK Investigational Site, West Chester, Ohio, United States|GSK Investigational Site, Oklahoma City, Oklahoma, United States|GSK Investigational Site, Portland, Oregon, United States|GSK Investigational Site, Carnegie, Pennsylvania, United States|GSK Investigational Site, Philadelphia, Pennsylvania, United States|GSK Investigational Site, Warwick, Rhode Island, United States|GSK Investigational Site, Mount Pleasant, South Carolina, United States|GSK Investigational Site, Nashville, Tennessee, United States|GSK Investigational Site, Georgetown, Texas, United States|GSK Investigational Site, Houston, Texas, United States|GSK Investigational Site, San Antonio, Texas, United States|GSK Investigational Site, Salt Lake City, Utah, United States|GSK Investigational Site, Seattle, Washington, United States",https://ClinicalTrials.gov/show/NCT00329355
1891,Integrative Migraine Pain Alleviation Through Chiropractic Therapy,Recruiting,No Results Available,"Migraine|Migraine Disorders|Migraine With Aura|Migraine Without Aura|Migraine, Classic",Nervous System Diseases,Other: Chiropractic Treatment,Other,Interventional,2017-06-07,"The Osher Clinical Center for Integrative Medicine at Brigham and Women's Hospital, Boston, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT03177616
3418,Comparing Naproxen to Sumatriptan for Emergency Headache Patients,Completed,Has Results,Migraine|Tension-type Headache|Primary Headache Disorder,Nervous System Diseases,Drug: Sumatriptan 100 mg|Drug: Naproxen,Other,Interventional,2007-03-01,"Montefiore Medical Center, Bronx, New York, United States|Columbia University Medical Center, New York, New York, United States",https://ClinicalTrials.gov/show/NCT00449787
2140,Microbreaks in the OR to Mitigate High Physical and Mental Demands,Completed,No Results Available,Attention Concentration Difficulty|Neck Pain|Back Pain|Shoulder Pain|Fatigue,"Muscle, Bone, and Cartilage Diseases",Other: Micro Break with Dynamic Exercise Activities,Other,Interventional,2015-01-02,"Mayo Clinic in Arizona, Scottsdale, Arizona, United States|Mayo Clinic in Florida, Jacksonville, Florida, United States|Mayo Clinic in Rochester, Rochester, Minnesota, United States",https://ClinicalTrials.gov/show/NCT02565394
1291,Pain Processing in Adults With Migraines,Recruiting,No Results Available,Migraines,Nervous System Diseases,Other: Questionnaires|Other: Quantitative Sensory Testing (QST) Pain Measurements,Other,Interventional,2016-01-01,"Wake Forest University Health Sciences, Winston-Salem, North Carolina, United States",https://ClinicalTrials.gov/show/NCT02748577
2142,Assessing the Analgesic Efficacy of Naproxen Sodium in Postsurgical Dental Pain.,Completed,Has Results,Toothache,Mouth and Tooth Diseases,Drug: Naproxen Sodium ER (BAYH6689)|Drug: Placebo,Industry,Interventional,2008-06-01,"Austin, Texas, United States|Austin, Texas, United States|Salt Lake City, Utah, United States",https://ClinicalTrials.gov/show/NCT00720057
3124,A Nutritional Intervention for Migraines,Completed,No Results Available,Migraines,Nervous System Diseases,Other: Vegan Diet|Dietary Supplement: mixture of omega3 and vitamins,Other,Interventional,2011-09-01,"Physicians Committee for Responsible Medicine, Washington, District of Columbia, United States",https://ClinicalTrials.gov/show/NCT01547494
