Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
911,NCT03123861,Gabapentin for Postop Pain After SSLF,,Recruiting,No Results Available,Pelvic Organ Prolapse,Drug: Gabapentin|Drug: Placebo oral capsule,Surgical Pain Scale question 2|Gluteal pain during normal activities question|Surgical Pain Scale question 1|Surgical Pain Scale question 3|Surgical Pain Scale question 4|Gluteal pain during rest question|PROMIS questionnaires on pain interference and pain intensity|Pain medication use|Metabolizer status,"University of North Carolina, Chapel Hill",Female,"18 Years and older   (Adult, Older Adult)",Phase 4,75,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention",16-3392,2017-06-01,2019-12-01,2019-12-01,2017-04-21,null,2018-06-14,"UNC Chapel Hill, Chapel Hill, North Carolina, United States",,https://ClinicalTrials.gov/show/NCT03123861
912,NCT01583985,Strategies for Prescribing Analgesics Comparative Effectiveness Trial,SPACE,Completed,No Results Available,Back Pain|Osteoarthritis,Other: Opioid-intensive prescribing strategy|Other: Opioid-avoidant prescribing strategy,Brief Pain Inventory Interference score|Brief Pain Inventory Severity score|Roland Disability Scale|Symptom checklist|Veterans RAND 12 Item Health Survey (VR-12)|Global impression of change|Multidimensional Fatigue Inventory|Arizona Sexual Experience scale|Falls|Hospitalizations and emergency department visits|Indiana University Telephone-Based Assessment of Neuropsychological Status (IU-TBANS)|Fullerton advanced balance scale|Gait speed test|Chair stand test,VA Office of Research and Development,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,265,U.S. Fed,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment,IIR 11-125,2013-06-01,2017-01-31,2017-05-31,2012-04-24,null,2017-06-08,"Minneapolis VA Health Care System, Minneapolis, MN, Minneapolis, Minnesota, United States",,https://ClinicalTrials.gov/show/NCT01583985
913,NCT01096550,Intensive Outpatient Versus Outpatient Treatment With Buprenorphine Among African Americans,,Completed,Has Results,Drug Dependence,Behavioral: Outpatient|Behavioral: Intensive Outpatient,Percentage of Participants Meeting Diagnosis of Opioid Dependence on Composite International Diagnostic Interview-2 (CIDI-2),"Friends Research Institute, Inc.|National Institute on Drug Abuse (NIDA)",All,"18 Years to 85 Years   (Adult, Older Adult)",Phase 4,319,Other|NIH,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,1RC1DA028407-01,2010-03-01,2011-10-01,2011-10-01,2010-03-31,2013-10-17,2015-04-15,"Friends Research Institute, Baltimore, Maryland, United States",,https://ClinicalTrials.gov/show/NCT01096550
914,NCT00800319,ALK33-001: A Study of RDC-0313 Administered to Healthy Adults,,Completed,No Results Available,Alcohol Dependence,Drug: RDC-0313|Drug: Placebo,Maximum plasma concentrations (Cmax) of RDC-0313|Clinically significant abnormal laboratory findings,"Alkermes, Inc.",All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 1,16,Industry,Interventional,"Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",ALK33-001,2008-12-01,2009-02-01,2009-06-01,2008-12-02,null,2011-08-22,"Quintiles Phase One Services, Overland Park, Kansas, United States",,https://ClinicalTrials.gov/show/NCT00800319
915,NCT01922739,"Open-Label, Extension Study to Evaluate the Safety of Hydrocodone Bitartrate Extended-Release Tablets",,Completed,Has Results,Low Back Pain,Drug: Hydrocodone ER|Drug: Placebo,"Participants With Adverse Events|Participants With Potentially Clinically Significant Abnormal Laboratory Values|Participants With Potentially Clinically Significant Abnormal Vital Signs Values|Participants With Shifts From Normal to Abnormal in Physical Examination Findings|Shifts From Baseline to Endpoint (Treatment Period) in Electrocardiogram (ECG) Findings|Participants With Clinically Significant (CS) Hearing Changes From Baseline to the Final Visit in Pure Tone Audiometry Test Results|Change From Baseline to Weeks 2, 6, 10, 14, 18, 22 and Endpoint of the Treatment Period in Daily Worst Pain Intensity (WPI) Scores During the Previous 24 Hours for Each Visit|Change From Baseline to Weeks 2, 6, 10, 14, 18, 22 and Endpoint of the Treatment Period in Daily Average Pain Intensity (API) Scores During the Previous 24 Hours for Each Visit|Percentage of Participants Withdrawn From the Study For Lack of Efficacy","Teva Branded Pharmaceutical Products, R&D Inc.|Teva Pharmaceutical Industries",All,"18 Years to 80 Years   (Adult, Older Adult)",Phase 3,182,Industry,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,C33237/3104,2013-07-01,2014-08-01,2014-08-01,2013-08-14,2017-06-02,2017-06-02,"Teva Investigational Site 10412, Birmingham, Alabama, United States|Teva Investigational Site 10426, Mobile, Alabama, United States|Teva Investigational Site 10436, Montgomery, Alabama, United States|Teva Investigational Site 10363, Phoenix, Arizona, United States|Teva Investigational Site 10366, Phoenix, Arizona, United States|Teva Investigational Site 10437, Tucson, Arizona, United States|Teva Investigational Site 10358, Anaheim, California, United States|Teva Investigational Site 10408, Bell Gardens, California, United States|Teva Investigational Site 10425, Carmichael, California, United States|Teva Investigational Site 10390, Cerritos, California, United States|Teva Investigational Site 10429, El Cajon, California, United States|Teva Investigational Site 10423, Escondido, California, United States|Teva Investigational Site 10391, Huntington Park, California, United States|Teva Investigational Site 10370, Los Angeles, California, United States|Teva Investigational Site 10392, Sherman Oaks, California, United States|Teva Investigational Site 10398, Thousand Oaks, California, United States|Teva Investigational Site 10428, Torrance, California, United States|Teva Investigational Site 10361, Walnut Creek, California, United States|Teva Investigational Site 10369, DeLand, Florida, United States|Teva Investigational Site 10379, Fort Lauderdale, Florida, United States|Teva Investigational Site 10365, Jacksonville, Florida, United States|Teva Investigational Site 10445, Leesburg, Florida, United States|Teva Investigational Site 10362, Orlando, Florida, United States|Teva Investigational Site 10381, Ormond Beach, Florida, United States|Teva Investigational Site 10357, Plantation, Florida, United States|Teva Investigational Site 10435, Royal Palm Beach, Florida, United States|Teva Investigational Site 10432, Columbus, Georgia, United States|Teva Investigational Site 10383, Marietta, Georgia, United States|Teva Investigational Site 10385, Marietta, Georgia, United States|Teva Investigational Site 10444, Newnan, Georgia, United States|Teva Investigational Site 10431, Meridian, Idaho, United States|Teva Investigational Site 10743, Meridian, Idaho, United States|Teva Investigational Site 10411, Chicago, Illinois, United States|Teva Investigational Site 10440, Newburgh, Indiana, United States|Teva Investigational Site 10419, New Orleans, Louisiana, United States|Teva Investigational Site 10359, Shreveport, Louisiana, United States|Teva Investigational Site 10389, Fall River, Massachusetts, United States|Teva Investigational Site 10388, Bay City, Michigan, United States|Teva Investigational Site 10397, Biloxi, Mississippi, United States|Teva Investigational Site 10406, Hazelwood, Missouri, United States|Teva Investigational Site 10401, Saint Louis, Missouri, United States|Teva Investigational Site 10376, Omaha, Nebraska, United States|Teva Investigational Site 10399, Las Vegas, Nevada, United States|Teva Investigational Site 10409, Berlin, New Jersey, United States|Teva Investigational Site 10439, Buffalo, New York, United States|Teva Investigational Site 10410, New York, New York, United States|Teva Investigational Site 10414, Winston-Salem, North Carolina, United States|Teva Investigational Site 10446, Oklahoma City, Oklahoma, United States|Teva Investigational Site 10430, Duncansville, Pennsylvania, United States|Teva Investigational Site 10386, Mechanicsburg, Pennsylvania, United States|Teva Investigational Site 10373, Tipton, Pennsylvania, United States|Teva Investigational Site 10405, Austin, Texas, United States|Teva Investigational Site 10364, Dallas, Texas, United States|Teva Investigational Site 10372, Dallas, Texas, United States|Teva Investigational Site 10371, Houston, Texas, United States|Teva Investigational Site 10377, Lake Jackson, Texas, United States|Teva Investigational Site 10374, Plano, Texas, United States|Teva Investigational Site 10378, San Antonio, Texas, United States|Teva Investigational Site 10402, Salt Lake City, Utah, United States|Teva Investigational Site 10420, Bellevue, Washington, United States|Teva Investigational Site 10433, Everett, Washington, United States",,https://ClinicalTrials.gov/show/NCT01922739
916,NCT02789410,Spinal Morphine vs. Hydromorphone for Pain Control After Cesarean Delivery,,Completed,No Results Available,"Analgesia, Obstetrical|Obstetric Surgical Procedures",Drug: Morphine|Drug: Hydromorphone,NRS score for pain (0-10) with movement 24 hours after spinal administration,Mayo Clinic,Female,"18 Years and older   (Adult, Older Adult)",Not Applicable,134,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",15-009421,2016-05-01,2017-09-01,2018-03-15,2016-06-03,null,2018-03-21,"Mayo Clinic in Rochester, Rochester, Minnesota, United States",,https://ClinicalTrials.gov/show/NCT02789410
917,NCT01789970,Efficacy and Safety of Hydrocodone Bitartrate Extended-Release Tablets for Moderate to Severe Chronic Low Back Pain,,Completed,Has Results,Low Back Pain,Drug: Hydrocodone ER|Drug: Placebo,"Change From Baseline to Week 12 of the Treatment Period in Weekly Average of Daily Worst Pain Intensity (WPI)|Change From Baseline to Week 12 of the Treatment Period in Weekly Average Pain Intensity (API)|Kaplan-Meier Estimates for Time to Loss of Efficacy|Percentage of Participants With a 30% or Greater Increase in Weekly Average Pain Intensity (API) From Baseline to Week 12 Visit, and an Average API Score of 5 or Higher at Week 12|Change From Baseline to Final On-Treatment Visit in Roland Morris Disability Questionnaire (RMDQ) Score|Participants With Adverse Events During Open-Label Titration and Double-Blind Treatment Periods|Participants With Clinically Significant Hearing Changes From Baseline to Final Assessment in Pure Tone Audiometry Test Results|Subjective Opiate Withdrawal Scales (SOWS) Total Scores During the Double-Blind Treatment Period|Clinical Opiate Withdrawal Scales (COWS) Total Scores During the Double-Blind Treatment Period|Participants With Potentially Clinically Significant Abnormal Laboratory Values During the Double-Blind Treatment Period|Participants With Potentially Clinically Significant Abnormal Vital Sign Values During the Double-Blind Treatment Period|Participants With Potentially Clinically Significant Abnormal Electrocardiogram Findings During the Double-Blind Treatment Period","Teva Branded Pharmaceutical Products, R&D Inc.|Teva Pharmaceutical Industries",All,"18 Years to 80 Years   (Adult, Older Adult)",Phase 3,625,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",C33237/3103,2013-03-01,2014-02-01,2014-02-01,2013-02-12,2017-04-05,2017-06-05,"Teva Investigational Site 10416, Anniston, Alabama, United States|Teva Investigational Site 10382, Birmingham, Alabama, United States|Teva Investigational Site 10403, Birmingham, Alabama, United States|Teva Investigational Site 10412, Birmingham, Alabama, United States|Teva Investigational Site 10426, Mobile, Alabama, United States|Teva Investigational Site 10436, Montgomery, Alabama, United States|Teva Investigational Site 10363, Phoenix, Arizona, United States|Teva Investigational Site 10366, Phoenix, Arizona, United States|Teva Investigational Site 10437, Tucson, Arizona, United States|Teva Investigational Site 10358, Anaheim, California, United States|Teva Investigational Site 10408, Bell Gardens, California, United States|Teva Investigational Site 10425, Carmichael, California, United States|Teva Investigational Site 10390, Cerritos, California, United States|Teva Investigational Site 10429, El Cajon, California, United States|Teva Investigational Site 10423, Escondido, California, United States|Teva Investigational Site 10740, Garden Grove, California, United States|Teva Investigational Site 10391, Huntington Park, California, United States|Teva Investigational Site 10422, La Jolla, California, United States|Teva Investigational Site 10413, Laguna Hills, California, United States|Teva Investigational Site 10442, Laguna Hills, California, United States|Teva Investigational Site 10370, Los Angeles, California, United States|Teva Investigational Site 10392, Sherman Oaks, California, United States|Teva Investigational Site 10398, Thousand Oaks, California, United States|Teva Investigational Site 10428, Torrance, California, United States|Teva Investigational Site 10361, Walnut Creek, California, United States|Teva Investigational Site 10441, Waterbury, Connecticut, United States|Teva Investigational Site 10369, DeLand, Florida, United States|Teva Investigational Site 10744, Edgewater, Florida, United States|Teva Investigational Site 10379, Fort Lauderdale, Florida, United States|Teva Investigational Site 10365, Jacksonville, Florida, United States|Teva Investigational Site 10445, Leesburg, Florida, United States|Teva Investigational Site 10362, Orlando, Florida, United States|Teva Investigational Site 10381, Ormond Beach, Florida, United States|Teva Investigational Site 12036, Pembroke Pines, Florida, United States|Teva Investigational Site 10357, Plantation, Florida, United States|Teva Investigational Site 10367, Royal Palm Beach, Florida, United States|Teva Investigational Site 10435, Royal Palm Beach, Florida, United States|Teva Investigational Site 10742, Sanford, Florida, United States|Teva Investigational Site 10432, Columbus, Georgia, United States|Teva Investigational Site 10383, Marietta, Georgia, United States|Teva Investigational Site 10385, Marietta, Georgia, United States|Teva Investigational Site 10444, Newnan, Georgia, United States|Teva Investigational Site 10431, Meridian, Idaho, United States|Teva Investigational Site 10743, Meridian, Idaho, United States|Teva Investigational Site 10411, Chicago, Illinois, United States|Teva Investigational Site 10418, Avon, Indiana, United States|Teva Investigational Site 10380, Evansville, Indiana, United States|Teva Investigational Site 10440, Newburgh, Indiana, United States|Teva Investigational Site 10375, Overland Park, Kansas, United States|Teva Investigational Site 10419, New Orleans, Louisiana, United States|Teva Investigational Site 10359, Shreveport, Louisiana, United States|Teva Investigational Site 10389, Fall River, Massachusetts, United States|Teva Investigational Site 10388, Bay City, Michigan, United States|Teva Investigational Site 10397, Biloxi, Mississippi, United States|Teva Investigational Site 10406, Hazelwood, Missouri, United States|Teva Investigational Site 10401, Saint Louis, Missouri, United States|Teva Investigational Site 10376, Omaha, Nebraska, United States|Teva Investigational Site 10396, Omaha, Nebraska, United States|Teva Investigational Site 10417, Henderson, Nevada, United States|Teva Investigational Site 10399, Las Vegas, Nevada, United States|Teva Investigational Site 10409, Berlin, New Jersey, United States|Teva Investigational Site 10439, Buffalo, New York, United States|Teva Investigational Site 10394, New York, New York, United States|Teva Investigational Site 10407, New York, New York, United States|Teva Investigational Site 10410, New York, New York, United States|Teva Investigational Site 10443, Raleigh, North Carolina, United States|Teva Investigational Site 10414, Winston-Salem, North Carolina, United States|Teva Investigational Site 10446, Oklahoma City, Oklahoma, United States|Teva Investigational Site 10415, Altoona, Pennsylvania, United States|Teva Investigational Site 10430, Duncansville, Pennsylvania, United States|Teva Investigational Site 10386, Mechanicsburg, Pennsylvania, United States|Teva Investigational Site 10373, Tipton, Pennsylvania, United States|Teva Investigational Site 10404, North Charleston, South Carolina, United States|Teva Investigational Site 10741, Spartanburg, South Carolina, United States|Teva Investigational Site 10405, Austin, Texas, United States|Teva Investigational Site 10364, Dallas, Texas, United States|Teva Investigational Site 10372, Dallas, Texas, United States|Teva Investigational Site 10395, Dallas, Texas, United States|Teva Investigational Site 10371, Houston, Texas, United States|Teva Investigational Site 12035, Houston, Texas, United States|Teva Investigational Site 10377, Lake Jackson, Texas, United States|Teva Investigational Site 10374, Plano, Texas, United States|Teva Investigational Site 10378, San Antonio, Texas, United States|Teva Investigational Site 10402, Salt Lake City, Utah, United States|Teva Investigational Site 10438, Roanoke, Virginia, United States|Teva Investigational Site 10420, Bellevue, Washington, United States|Teva Investigational Site 10433, Everett, Washington, United States",,https://ClinicalTrials.gov/show/NCT01789970
918,NCT02124980,Automated Recovery Line for Medication Assisted Treatment,,Completed,No Results Available,Drug Dependence|Substance Use Disorders,Behavioral: Recovery Line,urine screens|self reported drug use|treatment retention|coping behaviors,"Yale University|APT Foundation, Inc.|National Institute on Drug Abuse (NIDA)",All,"18 Years and older   (Adult, Older Adult)",Not Applicable,60,Other|NIH,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,1208010744|R01DA034678,2015-11-01,2017-04-01,2017-04-01,2014-04-28,null,2017-07-02,"MRU, APT Foundation, Inc, New Haven, Connecticut, United States",,https://ClinicalTrials.gov/show/NCT02124980
919,NCT00813488,Fentanyl Buccal Tablets Versus Immediate Release Oxycodone for Breakthrough Pain in Patients With Chronic Pain,,Completed,Has Results,Chronic Pain,Drug: Fentanyl Buccal Tablet|Drug: Immediate release oxycodone,Pain Intensity Difference (PID) at 15 Minutes Post-treatment (PID15)|Pain Intensity Difference (PID) at 5 Minutes Post-treatment|Pain Intensity Difference (PID) at 10 Minutes Post-treatment|Pain Intensity Difference (PID) at 30 Minutes Post-treatment|Pain Intensity Difference (PID) at 45 Minutes Post-treatment|Pain Intensity Difference (PID) at 60 Minutes Post-treatment|Percentage Change in Pain Intensity Difference (% PID) at 5 Minutes Post-treatment|Percentage Change in Pain Intensity Difference (% PID) at 10 Minutes Post-treatment|Percentage Change in Pain Intensity Difference (% PID) at 15 Minutes Post-treatment|Percentage Change in Pain Intensity Difference (% PID) at 30 Minutes Post-treatment|Percentage Change in Pain Intensity Difference (% PID) at 45 Minutes Post-treatment|Percentage Change in Pain Intensity Difference (% PID) at 60 Minutes Post-treatment|Sum of Pain Intensity Difference at 30 Minutes Post-treatment (SPID30)|Sum of Pain Intensity Difference at 60 Minutes Post-treatment (SPID60)|Pain Relief (PR) Score at 5 Minutes Post-treatment|Pain Relief Score at 10 Minutes Post-treatment|Pain Relief Score at 15 Minutes Post-treatment|Pain Relief Score at 30 Minutes Post-treatment|Pain Relief Score at 45 Minutes Post-treatment|Pain Relief Score at 60 Minutes Post-treatment|Total Pain Relief at 60 Minutes (TOTPAR60)|Percent Total Pain Relief at 60 Minutes Posttreatment (%TOTPAR)|Time to Any Pain Relief (APR) by Treatment - <= 5 Minutes|Time to Any Pain Relief (APR) by Treatment <=10 Minutes|Time to Any Pain Relief (APR) by Treatment <=15 Minutes|Time to Any Pain Relief (APR) by Treatment <=30 Minutes|Time to Any Pain Relief (APR) by Treatment <=45 Minutes|Time to Any Pain Relief (APR) by Treatment <=60 Minutes|Time to Meaningful Pain Relief (MPR) by Treatment - <= 5 Minutes|Time to Meaningful Pain Relief (MPR) by Treatment <=10 Minutes|Time to Meaningful Pain Relief (MPR) by Treatment <=15 Minutes|Time to Meaningful Pain Relief (MPR) by Treatment <=30 Minutes|Time to Meaningful Pain Relief (MPR) by Treatment <=45 Minutes|Time to Meaningful Pain Relief (MPR) by Treatment <=60 Minutes|Use of Standard Rescue Medication|Medication Performance Assessment 30 Minutes Post-treatment|Medication Performance Assessment 60 Minutes Post-treatment|Breakthrough Pain Preference Questionnaire|Patient Global Impression of Change (PGIC) at Visit 7- 1 Month After Open Label Treatment|Patient Global Impression of Change (PGIC) at Visit 8- 2 Months After Open Label Treatment|Patient Global Impression of Change (PGIC) at Visit 9- 3 Months After Open Label Treatment|Patient Global Impression of Change (PGIC) Endpoint|Clinician Global Impression of Change at Visit 7- 1 Month After Open Label Treatment|Clinician Global Impression of Change (CGIC) at Visit 8- 2 Months After Open Label Treatment|Clinician Global Impression of Change (CGIC) at Visit 9- 3 Months After Open Label Treatment|Clinician Global Impression of Change (CGIC)Endpoint,Cephalon|Teva Pharmaceutical Industries,All,"18 Years to 80 Years   (Adult, Older Adult)",Phase 3,213,Industry,Interventional,"Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",C25608/3056/BP/US,2008-12-01,2009-11-01,2010-01-01,2008-12-23,2010-12-31,2012-05-28,"Parkway Medical Center, Birmingham, Alabama, United States|Horizon Research Group, Inc, Mobile, Alabama, United States|Robert Karns, MD a Medical Corporation, Beverly Hills, California, United States|Catalina Research Institute, LLC, Chino, California, United States|Pacific Coast Pain Management, Laguna Hills, California, United States|Loma Linda University Health, Loma Linda, California, United States|VA Northern California Health, Mather, California, United States|New England Research Associates, Trumbull, Connecticut, United States|Delray Research Associates, Delray Beach, Florida, United States|Emerald Coast Research Group Inc, Marianna, Florida, United States|Compass Research, LLC, Orlando, Florida, United States|Gold Coast Research, Plantation, Florida, United States|Sarasota Pain Medicine Research, Sarasota, Florida, United States|Suncoast Neuroscience Associates, St. Petersburg, Florida, United States|Clinical Research of West Florida, Tampa, Florida, United States|Taylor Research, Marietta, Georgia, United States|Drug Studies America, Marietta, Georgia, United States|Georgia Pain Care, Newman, Georgia, United States|South Coast Medical Group, Savannah, Georgia, United States|Millennium Pain Center, Bloomington, Illinois, United States|Suburban Clinical Research, Bolingbrook, Illinois, United States|Knight Center for Integrated Health, Peoria, Illinois, United States|Indiana Medical Research, Elkhart, Indiana, United States|Rehabilitation Associates of Indiana, Indianapolis, Indiana, United States|Indiana Pain & Spine Clinic, South Bend, Indiana, United States|ICRI Inc., Overland Park, Kansas, United States|The Pain Treatment Center of the Bluegrass, Lexington, Kentucky, United States|Gulf Coast Research Associates, Inc, Baton Rouge, Louisiana, United States|Columbia Medical Practice, Columbia, Maryland, United States|MidAtlantic Pain Medicine Center, Pikesville, Maryland, United States|Michigan Neurology Associates PC, Clinton Township, Michigan, United States|CRC of Jackson, Jackson, Mississippi, United States|Healthcare Research, Florissant, Missouri, United States|Clinical Research Center of Nevada, Las Vegas, Nevada, United States|Five Towns Neuroscience Research, Cedarhurst, New York, United States|Upstate Clinical Research Associates, Williamsville, New York, United States|University of Cincinnati Medical Center, Cincinnati, Ohio, United States|Clinical Research Source Inc, Perrysburg, Ohio, United States|Pain Research of Oregon, Eugene, Oregon, United States|Allegheny Pain Management, Altoona, Pennsylvania, United States|The Clinical Trial Center, LLC, Jenkintown, Pennsylvania, United States|CRI Worldwide, Philadelphia, Pennsylvania, United States|University of Pennsylvania, Philadelphia, Pennsylvania, United States|Clinical Research Center, West Reading, Pennsylvania, United States|Greenville Pharmaceutical Research, Greenville, South Carolina, United States|Trident Institute of Medical Research, LLC, North Charleston, South Carolina, United States|South Carolina Pharmaceutical Research, Spartanburg, South Carolina, United States|Lovelace Scientific, Austin, Texas, United States|Sun Research Institute, San Antonio, Texas, United States|Aspen Clinical Research, Orem, Utah, United States",,https://ClinicalTrials.gov/show/NCT00813488
920,NCT02746354,Effects of a Patient Driven Assessment Process With Complex Pain Patients,PDAP,Completed,No Results Available,Chronic Pain,Other: The MySupport tool,Pain severity and functioning|Quality of sleep|Patient skill in managing health care|Health-related quality of life|Clinician empathy|Self-care practices|Health services utilization,Kaiser Permanente,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,100,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research,Pro00003197,2012-10-01,2014-12-01,2015-04-01,2016-04-21,null,2016-04-21,"Kaiser Permanente Center for Health Research, Portland, Oregon, United States",,https://ClinicalTrials.gov/show/NCT02746354
