Conditions,start_year,Conditions_total,start_year_total
Lentigo,2015,1,318
"Leukemia|Hodgkin Lymphoma|Lymphoma, Non-Hodgkin's",2015,1,318
Leukemia|Lymphoma,2014,1,328
Levator Ani Syndrome,2012,1,300
Levator Ani Syndrome With Pain and/or Constipation Symptoms.,2007,1,200
Levels of Pain,2014,1,328
Light Sensitivity,2011,1,283
Liver Cancer|Pain Management,2015,1,318
Liver Cancer|Pancreatic Cancer,2012,1,300
Liver Disease,2014,1,328
Liver Disease|Pain,2010,1,234
"Liver Failure|Liver Diseases, Alcoholic|Liver Diseases|Pain, Postoperative|Transplant; Failure, Liver|Liver Cirrhosis, Biliary",2018,1,279
Local Anaesthetic Complication|Pain,2017,1,332
Local Anesthesia,2016,1,316
Local Anesthetics,2011,1,283
Localized Resectable Neuroblastoma|Localized Unresectable Neuroblastoma|Neurotoxicity Syndrome|Pain|Regional Neuroblastoma|Stage 4 Neuroblastoma|Stage 4S Neuroblastoma,2011,1,283
Locally Advanced Head and Neck Cancer,2018,1,279
Low Back Pain,2005,3,136
Low Back Pain,2006,11,194
Low Back Pain,2007,15,200
Low Back Pain,2008,8,226
Low Back Pain,2009,8,251
Low Back Pain,2010,13,234
Low Back Pain,2011,17,283
Low Back Pain,2012,14,300
Low Back Pain,2013,14,284
Low Back Pain,2014,10,328
Low Back Pain,2015,17,318
Low Back Pain,2016,13,316
Low Back Pain,2017,10,332
Low Back Pain,2018,6,279
Low Back Pain Unresponsive to Non-surgical Care,2011,1,283
"Low Back Pain, Mechanical",2014,1,328
"Low Back Pain, Mechanical|Spinal Stenosis|Nerve Root Disorder|Radiculopathy, Cervical|Benign Hypermobility Syndrome",2016,1,316
"Low Back Pain, Recurrent",2006,1,194
Low Back Pain|Acute Pain,2017,1,332
Low Back Pain|Aging,2018,1,279
Low Back Pain|Back Pain,2013,1,284
"Low Back Pain|Back Pain Lower Back Chronic|Low Back Pain, Recurrent",2012,1,300
"Low Back Pain|Back Pain With Radiation|Back Pain Without Radiation|Back Pain Lower Back Chronic|Back Ache|Pain, Chronic",2017,1,332
Low Back Pain|Back Pain|Lumbar Pain|Backache,2014,1,328
Low Back Pain|Chronic Low Back Pain,2018,1,279
Low Back Pain|Chronic Low Back Pain|Subacute Low Back Pain,2018,1,279
Low Back Pain|Chronic Pain,2015,2,318
Low Back Pain|Depression|Anxiety|Osteoarthritis,2018,1,279
Low Back Pain|Headache|Fibromyalgia,2011,1,283
Low Back Pain|Headache|Shoulder Pain,2005,1,136
Low Back Pain|Hip Disease,2018,1,279
Low Back Pain|Leg Pain|Spondylolisthesis|Lumbar Spinal Stenosis,2006,1,194
"Low Back Pain|Low Back Pain, Recurrent",2009,1,251
Low Back Pain|Lumbago|Radiculopathy|Intervertebral Disc Disorder,2017,1,332
Low Back Pain|Lumbago|Spinal Instability,2015,1,318
Low Back Pain|Lumbar Radiculopathy,2014,1,328
Low Back Pain|Lumbosacral Radiculopathy|Lumbar Disc Degeneration|Lumbar Disc Herniation|Stenosis|Spondylolisthesis|Spondylolysis|Deformity of Spine,2016,1,316
Low Back Pain|Migraine|Diabetic Neuropathies|Osteoarthritis,2005,1,136
Low Back Pain|Musculoskeletal Pain,2013,1,284
Low Back Pain|Musculoskeletal Pain,2014,1,328
Low Back Pain|Neck Pain,2014,1,328
Low Back Pain|Obesity,2010,1,234
Low Back Pain|Opiate Addiction|Neck Pain,2015,1,318
Low Back Pain|Osteoarthritis|Neuropathic Pain,2012,1,300
Low Back Pain|Pain,2006,1,194
Low Back Pain|Pain,2011,1,283
Low Back Pain|Pain,2012,1,300
Low Back Pain|Pain,2018,1,279
"Low Back Pain|Pain|Pain, Intractable",2007,1,200
Low Back Pain|Pelvic Pain|Scar Tissue|Adhesions,2015,1,318
Low Back Pain|Pregnancy,2006,1,194
Low Back Pain|Pregnancy,2011,1,283
Low Back Pain|PTSD|Depression|Anxiety,2018,1,279
Low Back Pain|Radiating Pain,2011,1,283
Low Back Pain|Sciatica|Physical Therapy,2015,1,318
Low Back Pain|Spondylolysis|Spondylolisthesis,2016,1,316
Low Back Pain|Spondylosis,2017,1,332
Low Back Pain|Strain; Postural,2015,1,318
Low Testosterone|Hypogonadism|Pain,2012,1,300
Lower Back Pain,2007,1,200
Lower Back Pain,2008,3,226
Lower Back Pain,2012,3,300
Lower Back Pain,2013,2,284
Lower Back Pain,2016,1,316
Lower Back Pain|Pelvic Pain|Musculoskeletal Pain,2006,1,194
Lower Extremity Fractures.,2015,1,318
Lower Extremity Pain of a Mechanical Origin,2008,1,226
Lower Extremity Problem|Prosthesis User,2017,1,332
Lower Extremity Surgery|Upper Extremity Surgery|Post-operative Pain,2009,1,251
Lower Extremity Surgical Amputation|Post-amputation Phantom Limb Pain,2018,1,279
Lower Extremity Swelling Acute,2012,1,300
Lower Limb Amputation Above Knee (Injury)|Lower Limb Amputation Below Knee (Injury)|Phantom Limb Pain,2018,1,279
Lower Urinary Tract Discomfort|Stent Pain,2014,1,328
Lumbar Degenerative Disc Disease,2009,1,251
Lumbar Degenerative Disc Disease,2010,1,234
Lumbar Degenerative Disc Disease|Lower Back Pain|Chronic Lower Back Pain,2013,1,284
Lumbar Facet Joint Pain,2012,1,300
Lumbar Facet Joint Pain,2014,1,328
Lumbar Facet Joint Pain|Low Back Pain,2014,1,328
Lumbar Laminectomy,2013,1,284
Lumbar Pain,2012,1,300
Lumbar Post-Laminectomy Syndrome|Chronic Low Back Pain|Vertebral Compression Fracture|Failed Back Surgery Syndrome,2017,1,332
Lumbar Radiculopathy,2011,1,283
"Lumbar Radiculopathy|Lesion of Sciatic Nerve, Left Lower Limb|Lesion of Sciatic Nerve, Right Lower Limb|Lumbar Spinal Stenosis|Lumbar Spondylosis|Lumbago With Sciatica, Left Side|Lumbago With Sciatica, Right Side",2018,1,279
Lumbar Spinal Fusions,2008,1,226
Lumbar Spinal Stenosis,2007,1,200
Lumbar Spinal Stenosis,2008,2,226
Lumbar Spinal Stenosis,2018,1,279
Lumbar Spinal Stenosis|Lumbar Spinal Instability|Lumbar Spine Degeneration,2017,1,332
Lumbar Spine Disc Herniation|Lumbar Radiculitis|Lumbar Back Pain,2009,1,251
Lumbar Spine Fusion|Pain|Back Pain,2013,1,284
Lumbar Spine Surgery,2006,1,194
Lumbar Surgery,2015,1,318
Lumbosacral Radicular Pain,2017,1,332
Lumbosacral Radicular Pain,2018,1,279
Lumbosacral Radiculopathy,2008,1,226
Lumbosacral Radiculopathy,2009,1,251
Lumbosacral Radiculopathy,2012,1,300
Lung Cancer,2011,1,283
Lung Cancer,2016,1,316
Lung Cancer|Pain,2005,1,136
Lung Cancer|Quality of Life|Video-assisted Thoracic Surgery (VATS)|Thoracotomy,2005,1,136
Lung Neoplasms|Respiratory Failure|Pneumonia|Acute Coronary Syndromes|Unstable Angina|Myocardial Infarction|Cardiac Arrhythmia|Thromboembolic Disease,2011,1,283
Lung Tumor,2013,1,284
"Lupus Erythematosus, Systemic|Musculoskeletal Pain",2017,1,332
Lyme Disease,2019,1,8
Lymphoma,2015,1,318
MAB|Pain,2017,1,332
Major Depression|Fibromyalgia,2007,1,200
Major Depressive Disorder,2009,1,251
Major Depressive Disorder,2010,1,234
Major Depressive Disorder|Back Pain|Aged,2007,1,200
Major Depressive Disorder|Dysthymia|Spinal Cord Injuries,2007,1,200
Major Depressive Disorder|Dysthymic Disorder|Depressive Disorder NOS|Chronic Pain,2011,1,283
Major Depressive Disorder|Soft Tissue Discomfort Syndrome|Pain,2006,1,194
Malignancy|Infection|Pain,2018,1,279
Malignant Neoplasm,2018,1,279
Malignant Neoplasm of Breast,2016,1,316
Malignant Neoplasm|Metastatic Malignant Neoplasm in the Bone|Pain,2016,1,316
Malignant Neoplasm|Metastatic Malignant Neoplasm|Pain,2018,1,279
Malignant Neoplasms of Digestive Organs|Malignant Neoplasms of Female Genital Organs|Malignant Neoplasms of Male Genital Organs|Malignant Neoplasms of Urinary Tract,2017,1,332
Malignant Neoplasms of Independent (Primary) Multiple Sites,2017,1,332
Malignant Neoplasms of Independent (Primary) Multiple Sites,2018,1,279
Malignant Pleural Effusion|Pleural Effusion,2009,1,251
Malignant Tumor of Ill-defined Site,2015,1,318
Mammoplasty|Postoperative Pain,2012,1,300
Management of Chronic Pain,2013,1,284
Management of Moderate to Severe Pain,2012,1,300
Mandibular Anterior Crowding|Piezocision|Pain Perception,2011,1,283
Marginal Ulcer|Chronic Ulcer Disease|Persistent Ulcer Disease|Recurrent Ulcer Disease|Late Morbidity After Gastric Bypass,2008,1,226
Mastalgia,2016,1,316
Mastectomy,2017,1,332
Mastectomy|Postoperative Pain|Complications,2007,1,200
Mechanical Low Back Pain,2005,1,136
Mechanical Low Back Pain,2011,1,283
Mechanical Low Back Pain,2013,2,284
Mechanical Low Back Pain|Chronic Low Back Pain,2013,1,284
Mechanical Neck Pain,2008,1,226
Mechanical Neck Pain,2011,1,283
"Mechanically Ventilated Neonates,|Painful Procedures in Newborns",2008,1,226
Medication Adherence,2012,1,300
Medication Overuse Headache,2015,1,318
"Meditation|Spine Surgery|Pain, Postoperative",2014,1,328
Meningitis,2012,1,300
Meniscal Tear,2011,1,283
Meniscus Tear,2011,1,283
"Menopausal and Perimenopausal Disorder, Unspecified|Atrophic Vaginitis",2014,1,328
Menopause,2006,1,194
Menopause|Vulvovaginal Atrophy|Painful Intercourse|Dyspareunia,2013,1,284
Menorrhagia|Dysfunctional Uterine Bleeding|Leiomyoma|Pelvic Pain|Endometriosis,2012,1,300
Menorrhagia|Pelvic Pain|Hysterectomy,2014,1,328
Menstrual Distress (Dysmenorrhea),2008,1,226
Menstrual Migraine (MM) Headaches,2005,1,136
Mental Disorders|Worries; Pain or Disability,2012,1,300
Mental Health,2014,1,328
Metastases,2008,1,226
Metastatic Bone Lesion,2013,1,284
Metastatic Cancer|Pain,2009,1,251
Metastatic Cancer|Pain|Prostate Cancer,2006,1,194
"Metastatic Cancer|Pain|Unspecified Adult Solid Tumor, Protocol Specific",2009,1,251
Metastatic Cancers|Multiple Myeloma|Vertebral Fracture,2013,1,284
Metastatic Castrate-Resistant Prostate Cancer,2014,1,328
Metastatic Epidural Spinal Cord Compression,2010,1,234
Metastatic Lesions in Vertebral Bodies,2014,1,328
Metastatic Prostate Cancer|Pain,2014,1,328
Metastatic Solid Tumors of Metastatic Disease,2018,1,279
Metrorrhagia|Menorrhagia|Leiomyoma|Adenomyosis|Pelvic Pain|Endometriosis|Pelvic Inflammatory Disease,2013,1,284
Microvascular Angina,2013,1,284
Microvascular Angina,2014,1,328
Microvascular Angina|Angina Pectoris,2014,1,328
Microvascular Coronary Artery Disease,2017,1,332
Microvascular Dysfunction,2008,1,226
Migraine,2005,2,136
Migraine,2006,2,194
Migraine,2007,2,200
Migraine,2008,1,226
Migraine,2009,2,251
Migraine,2011,1,283
Migraine,2015,2,318
Migraine,2016,3,316
Migraine,2017,2,332
Migraine,2018,1,279
Migraine Disease,2009,1,251
Migraine Disorders,2005,1,136
Migraine Disorders,2006,1,194
Migraine Disorders,2012,1,300
Migraine Disorders,2013,1,284
Migraine Disorders,2016,1,316
Migraine Disorders|Headache,2014,1,328
Migraine Disorders|Headache Disorders,2018,1,279
"Migraine Disorders|Headache Disorders, Primary|Headache Disorders|Brain Diseases|Central Nervous System Diseases|Nervous System Diseases",2016,1,316
"Migraine Disorders|Headache, Migraine|Migraine|Migraine Headache|Migraine With Aura|Migraine Without Aura|Headache Disorders, Primary",2012,1,300
"Migraine Disorders|Headache, Migraine|Pediatrics",2017,1,332
Migraine Disorders|Migraine,2005,1,136
Migraine Disorders|Migraine,2008,1,226
Migraine Disorders|Migraine Headache|Migraine|Acute Migraine,2011,1,283
"Migraine Disorders|Migraine, Acute",2008,1,226
"Migraine Disorders|Migraine, Classic|Migraine Without Aura",2017,1,332
Migraine Disorders|Photophobia,2013,1,284
Migraine Disorders|Photophobia,2014,1,328
Migraine Disorders|Post-Traumatic Headache,2016,1,316
Migraine Headache,2006,2,194
Migraine Headache,2007,1,200
Migraine Headache,2008,1,226
Migraine Headache,2009,2,251
Migraine Headache,2010,1,234
Migraine Headache,2011,4,283
Migraine Headache,2012,3,300
Migraine Headache,2014,2,328
Migraine Headache,2015,1,318
Migraine Headache,2016,6,316
Migraine Headache,2017,3,332
"Migraine Headache, Episodic",2013,1,284
"Migraine Headache, With or Without Aura",2005,1,136
Migraine Headache|Aura,2006,1,194
Migraine Headache|Cognitive Impairment,2009,1,251
Migraine Headache|Headache,2015,1,318
Migraine Headaches,2006,1,194
Migraine Headaches,2008,2,226
Migraine Headaches,2010,1,234
Migraine Headaches,2012,1,300
Migraine Headaches,2013,1,284
Migraine Headaches,2014,1,328
Migraine Headaches,2015,1,318
Migraine Headaches,2016,1,316
Migraine Headaches|Nausea|Restlessness,2013,1,284
Migraine Headaches|Patent Foramen Ovale,2006,1,194
Migraine With Aura|Migraine Without Aura,2005,1,136
Migraine With Aura|Migraine Without Aura,2007,1,200
Migraine Without Aura,2009,1,251
Migraine|Chronic Headache,2006,1,194
Migraine|Chronic Migraine,2011,1,283
Migraine|Chronic Pain,2017,1,332
Migraine|Cluster Headache|Trigeminal Autonomic Cephalgia|Hemicrania Continua|Paroxysmal Hemicrania|SUNCT|Short-Lasting Unilateral Neuralgiform Headache With Conjunctival Injection and Tearing,2018,1,279
Migraine|Headache,2012,2,300
Migraine|Headache,2017,1,332
Migraine|Headache|Depression,2006,1,194
Migraine|Headache|Dizziness,2008,1,226
Migraine|Headache|Migraine Headache,2015,1,318
Migraine|Headaches,2012,1,300
Migraine|Healthy,2013,1,284
Migraine|Migraine Disorders,2006,1,194
Migraine|Migraine Disorders|Headache,2012,1,300
"Migraine|Migraine Disorders|Migraine With Aura|Migraine Without Aura|Migraine, Classic",2017,1,332
Migraine|Pain,2011,1,283
Migraine|Tension-type Headache|Primary Headache Disorder,2007,1,200
Migraines,2011,1,283
Migraines,2016,1,316
Migrainous Headache,2006,1,194
Mild to Heavy Alcohol Consumption,2015,1,318
Mild Traumatic Brain Injury|Distress-based Psychopathology|Chronic Pain,2016,1,316
Minor Procedural Pain,2015,1,318
Mobile Pain Coping Skills Training|In Person Pain Coping Skills Training,2014,1,328
Mobility Limitation,2014,1,328
Moderate to Severe Acute Postoperative Pain,2014,1,328
Moderate to Severe Chronic Pain Due to Osteoarthritis of the Knee,2012,1,300
"Moderate to Severe Chronic, Non-malignant Pain",2005,1,136
Moderate to Severe Cyclic Mastalgia,2010,1,234
Moderate to Severe Postoperative Pain,2009,1,251
Moderate-severe Pain,2015,1,318
Moderate-severe Pain,2016,1,316
Moderate-to-severe Acute Pain,2015,1,318
Moderate-to-severe Acute Pain,2016,1,316
Moderate-to-severe Chronic Low Back Pain,2016,1,316
Moderate-to-severe Chronic Noncancer Pain,2016,1,316
Morbid Obesity,2011,1,283
Morbid Obesity,2012,1,300
Morbid Obesity|Labor Pain,2017,1,332
Morton's Neuroma,2005,1,136
Morton's Neuroma,2015,1,318
Motor Activity,2010,1,234
Mucositis,2012,1,300
Mucositis,2016,1,316
Mucositis|Head and Neck Cancer,2010,1,234
Mucositis|Pain|Leukemia,2007,1,200
"Mucositis|Pain|Unspecified Adult Solid Tumor, Protocol Specific",2009,1,251
Multimodal Analgesia|Nonsteroidal Anti-inflammatory Drugs,2016,1,316
Multimodal Analgesic Approach,2017,1,332
Multiple Myeloma,2008,1,226
Multiple Myeloma and Plasma Cell Neoplasm|Pain,2005,1,136
Multiple Myeloma|Non-Hodgkin Lymphoma|Hodgkin Lymphoma,2011,1,283
Multiple Sclerosis,2006,2,194
Multiple Sclerosis,2007,1,200
Multiple Sclerosis,2008,1,226
Multiple Sclerosis,2009,1,251
Multiple Sclerosis,2013,2,284
Multiple Sclerosis|Chronic Pain|Fatigue,2015,1,318
Multiple Sclerosis|Neuropathic Pain,2018,1,279
Multiple Sclerosis|Pain,2008,1,226
Multiple Sclerosis|Pain|Depression,2014,1,328
Multiple Sclerosis|Peripheral Neuropathy,2009,1,251
Multiple Sclerosis|Spinal Cord Injury|Chronic Pain|Other and Unspecified Amputation Stump Complications|Muscular Dystrophies|Low Back Pain,2013,1,284
Muscle Damage|Muscle Inflammation,2009,1,251
Muscle Function|Muscle Soreness|Vitamin D Status,2012,1,300
Muscle Pain|Joint Pain,2012,1,300
Muscle Soreness,2014,1,328
Muscle Soreness,2017,2,332
Muscle Soreness,2018,1,279
Muscle Soreness|Headache|Knee Osteoarthritis|Back Pain|Neck Pain|Needle Stick|Shoulder Pain|Hip Osteoarthritis,2018,1,279
Muscle Spasm,2014,1,328
Muscle Tightness,2014,1,328
Muscle Weakness   Patient|Pain,2015,1,318
Muscle Weakness|Myalgia|Side Effects of Statins,2009,1,251
Muscles|Exercise|Arnica,2007,1,200
"Musculoskeletal Complications|Pain|Unspecified Adult Solid Tumor, Protocol Specific",2008,1,226
Musculoskeletal Diseases,2015,1,318
Musculoskeletal Diseases,2019,1,8
Musculoskeletal Equilibrium|Back Pain,2007,1,200
Musculoskeletal Pain,2013,1,284
Musculoskeletal Pain,2015,2,318
Musculoskeletal Pain,2016,2,316
Musculoskeletal Pain,2017,3,332
Musculoskeletal Pain,2018,1,279
Musculoskeletal Pain Disorder,2017,1,332
Musculoskeletal Pain|Chronic Pain,2014,1,328
"Musculoskeletal Pain|Fractures, Closed|Distal Radius Fracture|Complex Regional Pain Syndromes",2018,1,279
Musculoskeletal Pain|Musculoskeletal Strain|Sedentary Lifestyle,2017,1,332
Musculoskeletal Pain|Neck Pain,2018,1,279
Musculoskeletal Pain|Osteoarthritis|Tendinopathy|Sprains Strain,2016,1,316
"Musculoskeletal Pain|Pain, Chronic",2015,1,318
Musculoskeletal Strain|Musculoskeletal Sprain|Injury of Musculoskeletal System,2012,1,300
Music Therapy for Pain and Sedation,2010,1,234
Myalgia|Hypercholesterolemia|Hyperlipidemia,2011,1,283
Myalgic Encephalomyelitis|Chronic Fatigue Syndrome,2018,1,279
Myocardial Infarction|Acute Coronary Syndromes|Unstable Angina,2012,1,300
Myocardial Infarction|Death|Cerebrovascular Accident|Congestive Heart Failure|Angina Pectoris,2012,1,300
Myocardial Infarction|Percutaneous Coronary Intervention|Coronary Artery Bypass Surgery|Heart Valve Repair or Replacement|Heart Transplant|Left Ventricular Assist Device|Chronic Stable Angina|Chronic Stable Heart Failure,2017,1,332
Myocardial Infarction|Stable Angina|Coronary Artery Disease,2011,1,283
Myocardial Infarction|Unstable Angina,2012,1,300
Myocardial Infarction|Unstable Angina|Coronary Artery Disease,2009,1,251
Myocardial Ischemia|Coronary Artery Disease|Arteriosclerosis|Chronic Stable Angina,2015,1,318
Myofacial Pain,2008,1,226
Myofascial Pain,2017,1,332
Myofascial Pain Syndrome,2009,1,251
Myofascial Pain Syndrome,2014,1,328
Myofascial Pain Syndromes,2010,1,234
Myofascial Pain Syndromes,2016,1,316
"Myofascial Pain Syndromes|Myofascial Trigger Point Pain|Trigger Point Pain, Myofascial",2014,1,328
Myofascial Pain|Tension-type Headache,2015,1,318
Myofascial Pelvic Pain,2013,1,284
Myofascial Trigger Point Pain|Myofascial Pain Syndrome,2016,1,316
Myopia,2011,1,283
Myositis,2015,1,318
Narcotic Consumption|Pain|Wound Healing|Patient Satisfaction,2007,1,200
Narcotic Use|Pain|Constipation|Nausea,2014,1,328
"Narcotic Use|Postoperative Pain|Narcotic Abuse|Opioid Use|Opioid Abuse, Uncomplicated|Opioids; Harmful Use|Analgesic Drug Dependence|Orthopedic Disorder",2017,1,332
Nasolabial Folds,2008,2,226
Nausea/Vomiting,2017,1,332
Nausea|Abdominal Pain,2013,1,284
Nausea|Postoperative Nausea and Vomiting|Postdischarge Nausea and Vomiting|Postoperative Pain,2007,1,200
Neck Pain,2005,1,136
Neck Pain,2007,1,200
Neck Pain,2009,3,251
Neck Pain,2011,3,283
Neck Pain,2012,1,300
Neck Pain,2013,5,284
Neck Pain,2014,3,328
Neck Pain,2015,1,318
Neck Pain,2016,5,316
Neck Pain,2018,1,279
"Neck Pain Musculoskeletal|Back Pain, Unspecified",2016,1,316
"Neck Pain, Posterior",2016,1,316
Neck Pain|Cervical Facet Arthropathy,2008,1,226
Neck Pain|Cervical Pain,2012,1,300
Neck Pain|Cervicalgia|Facet Joint Pain,2018,1,279
Neck Pain|Chronic Pain,2015,2,318
Neck Pain|Chronic Pain|Pain|Arthritis|Musculoskeletal Pain|Osteoarthritis,2017,1,332
Neck Pain|Headache,2011,1,283
Neck Pain|Low Back Pain,2005,1,136
Neck Pain|Low Back Pain,2018,1,279
Neck Pain|Low Back Pain|Chronic Pain,2017,1,332
"Neck Pain|Pain in Arm, Unspecified",2013,1,284
Need for Intravenous Catheter,2007,1,200
Neonatal Abstinence Syndrome,2011,1,283
Neonatal Circumcision,2012,1,300
Neonatal Procedural Pain,2014,1,328
Neoplasm Metastasis|Palliative Care,2009,1,251
Neoplasm Related Pain (Acute) (Chronic),2010,1,234
Neoplasms|Arteriovenous Malformation of Central Nervous System|Trigeminal Neuralgia,2012,1,300
Neoplasms|Bone Metastases,2009,1,251
Neoplasms|Pain,2006,1,194
Neoplasms|Pain,2007,1,200
Neovascular Age-Related Macular Degeneration,2013,1,284
Nephrectomy,2018,1,279
Nephrectomy|Laparoscopic Donor Nephrectomy,2008,1,226
Nerve Block; Pain Medication,2008,1,226
Nerve Block|General Anesthesia|Spinal Anesthesia|Pain|Postoperative Nausea and Vomiting,2017,1,332
Nerve Block|Hip Arthroscopy,2017,1,332
Nerve Pain,2018,1,279
Neuralgia,2008,2,226
"Neuralgia, Perineal",2014,1,328
"Neuralgia, Postherpetic",2005,1,136
"Neuralgia, Postherpetic",2006,1,194
"Neuralgia, Postherpetic",2007,1,200
"Neuralgia, Postherpetic",2008,2,226
"Neuralgia, Postherpetic",2010,1,234
"Neuralgia, Postherpetic",2013,1,284
"Neuralgia,Postherpetic",2008,1,226
Neuralgia|Herpes Zoster,2010,1,234
Neuralgia|Osteoarthritis of the Knee,2013,1,284
Neuralgia|Postherpetic Neuralgia|Reflex Sympathetic Dystrophy|Complex Regional Pain Syndrome (CRPS),2011,1,283
Neuralgia|Spinal Cord Injuries,2007,1,200
Neuroblastoma,2016,1,316
Neurofibromatosis,2012,1,300
"Neurofibromatosis 1|Neurofibromatosis Type 1|NF 1|Neurofibroma, Plexiform",2011,1,283
Neurofibromatosis 1|Plexiform Neurofibromas,2015,1,318
Neurofibromatosis Type 1|Plexiform Neurofibromas,2015,1,318
Neurologic Pain|Nociceptive Pain,2014,1,328
"Neurologically Impaired|Irritable Mood|Signs and Symptoms, Digestive|Sleeplessness|Chronic Pain",2012,1,300
Neuroma,2015,1,318
Neuroma Amputation,2008,1,226
Neuroma|Neuroma Amputation|Pain,2014,1,328
Neuroma|Pain|Prosthesis User|Prosthesis Failure,2014,1,328
Neuromyelitis Optica,2018,1,279
Neuropathic Back Pain|Spinal Cord Injury,2016,1,316
Neuropathic Pain,2006,1,194
Neuropathic Pain,2008,3,226
Neuropathic Pain,2010,2,234
Neuropathic Pain,2011,1,283
Neuropathic Pain,2012,3,300
Neuropathic Pain,2014,2,328
Neuropathic Pain,2016,2,316
Neuropathic Pain Due to Spinal Cord Injury,2013,1,284
Neuropathic Pain From Spinal Cord Injury|Diabetic Peripheral Neuropathy|Post Herpetic Pain,2007,1,200
Neuropathic Pain Secondary to a Clear Etiology,2016,1,316
"Neuropathic Pain|Amputation, Traumatic",2013,1,284
Neuropathic Pain|Chronic Pain|Multiple Sclerosis,2007,1,200
Neuropathic Pain|Low Back Pain,2017,1,332
Neuropathic Pain|Mechanical Hypersensitivity,2009,1,251
Neuropathic Pain|Nociceptive Pain|MIxed Pain (Nociceptive and Neuropathic),2018,1,279
Neuropathic Pain|Pain,2009,1,251
Neuropathic Pain|Pain|Spinal Cord Injuries,2005,1,136
Neuropathic Pain|Reflex Sympathetic Dystrophy|Peripheral Neuropathy|Post-herpetic Neuralgia|Spinal Cord Injury|Multiple Sclerosis,2009,1,251
Neuropathic Pain|Spinal Cord Injury,2007,1,200
Neuropathy,2010,1,234
Neuropathy,2016,1,316
"Neuropathy, Diabetic",2008,1,226
"Neuropathy, Painful|Chemotherapy-induced Peripheral Neuropathy|Colorectal Cancer",2017,1,332
"Neuropathy, Paraneoplastic",2011,1,283
"Neuropathy, Small Fiber",2016,1,316
"Neuropathy; Radicular, Lumbar, Lumbosacral|Failed Back Surgery Syndrome|Spinal Stenosis|Herniated Disc",2009,1,251
Neuropathy|Pain,2015,1,318
Neuropathy|Pain|Recurrent Breast Carcinoma|Stage IV Breast Cancer,2009,1,251
Neuropathy|Phantom Limb Pain|Complex Regional Pain Syndromes|Neuropathic Pain,2016,1,316
Neurophysiological Mechanisms Manipulation,2013,1,284
Neurotoxicity|Pain|Breast Cancer,2006,1,194
"Neurotoxicity|Pain|Peripheral Neuropathy|Unspecified Adult Solid Tumor, Protocol Specific",2007,1,200
"Neurotoxicity|Pain|Peripheral Neuropathy|Unspecified Adult Solid Tumor, Protocol Specific",2008,1,226
New Daily Persistent Headache,2014,1,328
New Daily Persistent Headache (NDPH),2018,1,279
Nipple Pain During Lactation,2007,1,200
no Conditions,2015,1,318
No Disease State or Condition,2017,1,332
Non Ulcer Dyspepsia,2008,1,226
Non-Cancer Chronic Pain,2014,1,328
Non-Constipation Irritable Bowel Syndrome,2008,2,226
Non-melanoma Skin Cancer,2016,1,316
Non-specific Low Back Pain,2015,1,318
Noncardiac Chest Pain (NCCP),2005,1,136
Nonspecific Pain Post Traumatic Injury,2018,1,279
Nonviable Pregnancy,2012,1,300
Normal Physiology|Healthy Volunteers|Pain,2018,1,279
Normal Physiology|Pain,2016,1,316
NSAID|Pain Management,2017,1,332
Obesity,2011,1,283
Obesity,2012,1,300
Obesity,2015,1,318
Obesity,2016,2,316
"Obesity, Morbid|Postoperative Pain|Postoperative Nausea and Vomiting",2008,1,226
"Obesity, Morbid|Pregnancy|Pain",2018,1,279
Obesity|Eating Behavior|Mood|Glucose|Dietary Modification,2017,1,332
Obesity|Morbid Obesity|Venous Thromboembolism|Atrial Fibrillation|Angina|Chest Pain,2011,1,283
Obesity|Pain,2007,1,200
Obesity|Pain,2012,1,300
"Obesity|Rhinitis|Rhinitis, Allergic|Respiratory Sounds|Dyspnea|Headache|Migraine Disorders|Arthritis|Arthralgia|Anxiety|Sleep Initiation and Maintenance Disorders|Sleep Deprivation",2016,1,316
Obesity|Stress|Irritable Bowel Syndrome|Women|Children,2009,1,251
Obstetric Pain|Pain,2018,1,279
Obstetrical Complications From Sedation During Parturition,2013,1,284
Obstruction of Pelviureteric Junction,2009,1,251
Obstructive Sleep Apnea,2007,1,200
Obstructive Sleep Apnea,2014,1,328
Obstructive Sleep Apnea,2018,1,279
Occipital Neuralgia,2012,2,300
Occipital Neuralgia|Cervicogenic Headache,2013,1,284
Occipital Neuralgia|Cervicogenic Headache|Migraine Without Aura,2017,1,332
"Ocular Infections, Irritations and Inflammations",2014,1,328
Ocular Inflammation and Pain,2012,1,300
Odontalgia,2014,1,328
Oocyte Retrieval|Postoperative Pain,2011,1,283
Opiate Addiction,2009,1,251
Opiate Addiction|Refractory Pain,2007,1,200
Opiate Dependence|Chronic Pain,2009,1,251
Opioid Abuse|Opioid Dependence,2012,1,300
Opioid Cessation,2014,1,328
Opioid Dependence,2005,1,136
Opioid Dependence,2006,1,194
Opioid Dependence,2007,1,200
Opioid Dependence,2008,1,226
Opioid Dependence|Pain,2015,1,318
Opioid Dependence|Pain|Addiction,2013,1,284
Opioid Dependency,2008,1,226
Opioid Dependency,2010,2,234
Opioid Induced Bowel Dysfunction,2010,1,234
Opioid Misuse|Older Adults|HIV,2015,1,318
Opioid Safety|Prescription Opioid Misuse|Chronic Pain,2016,1,316
